"Date Made Public","Company","Location","Type of breach","Type of organization","Records Breached","Total Records","Description of incident","Information Source","Source URL"
"October 16, 2013","Memorial Hospital of Lafayette County, Healthcare Management System","Darlington, Wisconsin","DISC","MED","6,000 (No Social Security numbers or financial information exposed)","Unknown","Memorial Hospital of Lafayette learned on August 6 that some patients had their financial statements sent to other people.  The mistake was caused by an error in the settings of an unnamed third-party billing vendor's system.  Patients who were seen at the hospital as far back as 2001 may have had their information sent to the wrong address. Patient names, addresses, identificaiton numbers, account numbers, dates of services, and the charges associated with services received were exposed.UPDATE (11/08/2013): The billing vendor was Healthcare Management System.","PHIPrivacy.net",""
"December 13, 2013","The University of Connecticut (UConn) Health Center","Storrs, Connecticut","INSD","MED","164 (No Social Security numbers or financial information exposed)","Unknown","An employee accessed patient information without cause.  The employee's actions did not appear to be malicious and the employee was placed on administrative leave.  The incident or incidents were discovered on November 4.","Media",""
"December 14, 2013","Bailey's Health Center","Falls Church, Virginia","DISC","MED","1,499","1,499","Patient information was kept on an unsecured computer server.  Names, Social Security numbers, addresses, pharmacy identification numbers, medication dosages, payment information, and names and addresses of prescribers may have been accessed by unauthorized parties.  The pharmaceutical records were discovered online on October 18 through a routine forensic audit.","Media",""
"December 14, 2013","Lanap and Implant Center of Pennsylvania","Collegeville, Pennsylvania","DISC","MED","11,000","11,000","The Lanap and Implant Center learned of a breach on September 17, 2012.  Patient information had been uploaded to websites in February of 2010 where it could be downloaded by anyone.  Names, Social Security numbers, addresses, dates of birth, phone numbers, dates of appointments, types of services provided, dental insurance information, and other patient records were available.  At least 5,000 patients were informed of the breach sometime around November 1, 2012.  The information appears to still be available for download.","PHIPrivacy.net",""
"December 12, 2013","inSync, Cottage Hospital, Cottage Health System","Santa Barbara, California","DISC","MED","32,755 (No Social Security numbers or financial information exposed)","Unknown","A Cottage Hospital vendor removed an electronic security device without notifying Cottage Hospital.  The removal may have exposed patient information.  Patients treated at centers in Goleta, Santa Ynez, and Santa Barbara between September 29, 2009 and December 2, 2013 may have had their lab results, procedures performed, and other medical details relating to diagnosis exposed.UPDATE (12/13/2013): Patient names, dates of birth, addresses, and health information may have been exposed.UPDATE (12/15/2013): Cottage Hospital's vendor was inSync.","Media",""
"September 13, 2013","MNsure","St. Paul, Minnesota","DISC","MED","2,400&nbsp;","2,400","An agency employee accidentally sent the information of 2,400 insurance agents to two other MNsure employees via email.  MNsure instructed the employees to delete the information.  Names, Social Security numbers, and addresses were part of the breach.UPDATE (12/12/2013): It was also discovered that the health insurance exchange has vulnerabilities that may allow hackers to see information travelling between a user's computer to the MNsure website.","Media",""
"December 21, 2013","DeLoach & Williamson, South Carolina Health Insurance Pool","Columbia, South Carolina","PORT","MED","Unknown","Unknown","The October 16, 2013 theft of a laptop from a DeLoach & Williamson employee's car may have resulted in the exposure of an unspecified number of South Carolina Health Insurance Pool patients' information.  Full names with middle initials, Social Security numbers, dates of service, and provider identification numbers may have been exposed.","Media",""
"December 10, 2013","Office of Dr. Stephen Imrie","San Jose, California","PORT","MED","8,900","8,900","The September 23 home burglary of a password-protected laptop and other items may have exposed patient information.  The laptop contained patient first and last names, Social Security numbers, dates of birth, telephone numbers, surgical information, medical history, and other information related to patient records.","California Attorney General",""
"December 22, 2013","Office of Dr. Rob Meaglia, DDS","Rocklin, California","STAT","MED","Unknown","Unknown","The December 15 office burglary of a computer resulted in the exposure of patient information.  Medical records, dental insurance information, and Social Security numbers may have been exposed. The computer was encrypted and password-protected.","California Attorney General",""
"December 25, 2013","Inspira Medical Center Vineland","Vineland, New Jersey","STAT","MED","Unknown","Unknown","The December 23 theft of a computer from the radiology department of Inspira Medical Center Vineland may have resulted in the exposure of patient information.  The computer was kept in an unsecured filing room.","PHIPrivacy.net",""
"October 30, 2013","Florida Department of Health","Orlando, Florida","INSD","MED","3,500","3,500","Two employees accessed a database of patient names, Social Security numbers, and dates of birth for the purpose of misusing the information to file tax returns.  Police found a hand written list of 148 names and personal information when they searched the home of the alleged ring leader.  Patients who were 17 and 18 years of age were targeted.UPDATE (12/21/2013): The two women each pleaded guilty to one federal fraud charge related to accessing names, Social Security numbers, and dates of birth.","PHIPrivacy.net",""
